t[s]	Bpos	Bspd	A[cm淫	Mma[鑑]	P1[mN/m]	P2[mN/m]	T[蚓]	SP[V]	pH	AD[V]
1501.26	109.152	1.995	74.02	45.11	44.983	0.000	24.33		0.21	0.000
1511.31	109.197	1.995	73.95	45.07	44.995	0.000	24.34		0.21	0.000
1521.38	109.244	-0.144	73.88	45.02	45.064	0.000	24.35		0.21	0.000
1531.43	109.215	-1.995	73.93	45.05	45.064	0.000	24.35		0.21	0.000
1541.51	109.220	-1.995	73.92	45.04	45.009	0.000	24.36		0.21	0.000
1551.57	109.282	1.995	73.83	44.99	44.869	0.000	24.35		0.21	0.000
1561.63	109.360	-0.084	73.71	44.92	45.058	0.000	24.36		0.21	0.000
1571.68	109.355	-1.526	73.72	44.92	45.009	0.000	24.35		0.21	0.000
1581.76	109.324	1.995	73.76	44.95	44.923	0.000	24.35		0.21	0.000
1591.83	109.415	1.995	73.63	44.87	45.010	0.000	24.34		0.21	0.000
1601.91	109.411	-1.995	73.63	44.87	45.047	0.000	24.33		0.21	0.000
1611.97	109.406	1.995	73.64	44.87	44.943	0.000	24.33		0.21	0.000
1622.01	109.493	1.995	73.51	44.80	44.968	0.000	24.34		0.21	0.000
1632.08	109.571	1.298	73.39	44.72	45.011	0.000	24.34		0.21	0.000
1642.15	109.599	-1.995	73.35	44.70	45.134	0.000	24.34		0.22	0.000
1652.22	109.569	-1.827	73.40	44.73	45.000	0.000	24.34		0.22	0.000
1662.30	109.564	1.995	73.40	44.73	44.904	0.000	24.34		0.22	0.000
1672.33	109.655	1.995	73.27	44.65	44.895	0.000	24.35		0.22	0.000
1682.40	109.720	1.995	73.17	44.59	44.993	0.000	24.35		0.22	0.000
1692.48	109.775	-1.995	73.09	44.54	45.158	0.000	24.36		0.22	0.000
1702.54	109.756	-0.781	73.12	44.55	44.985	0.000	24.36		0.22	0.000
1712.60	109.773	1.995	73.09	44.54	44.858	0.000	24.35		0.22	0.000
1722.67	109.880	1.442	72.93	44.44	45.068	0.000	24.35		0.22	0.000
1732.72	109.888	1.959	72.92	44.43	45.035	0.000	24.35		0.22	0.000
1742.78	109.858	-1.995	72.96	44.46	45.087	0.000	24.34		0.22	0.000
1752.83	109.864	1.995	72.95	44.46	44.934	0.000	24.34		0.22	0.000
1762.91	109.939	0.313	72.84	44.39	44.977	0.000	24.34		0.22	0.000
1772.96	109.935	-1.322	72.85	44.39	44.993	0.000	24.33		0.22	0.000
1783.03	109.901	0.673	72.90	44.42	44.933	0.000	24.34		0.22	0.000
1793.08	110.001	1.995	72.75	44.33	44.912	0.000	24.34		0.22	0.000
1803.14	110.039	1.995	72.69	44.30	45.021	0.000	24.35		0.22	0.000
1813.22	110.007	-0.505	72.74	44.33	44.918	0.000	24.35		0.23	0.000
1823.28	110.014	1.995	72.73	44.32	44.906	0.000	24.36		0.23	0.000
1833.36	110.048	0.433	72.68	44.29	44.932	0.000	24.36		0.23	0.000
1843.43	110.102	-0.853	72.60	44.24	44.896	0.000	24.36		0.23	0.000
1853.49	110.138	0.204	72.54	44.21	44.929	0.000	24.36		0.23	0.000
1863.55	110.275	1.995	72.34	44.08	44.947	0.000	24.37		0.23	0.000
1873.62	110.329	0.457	72.26	44.03	45.024	0.000	24.36		0.23	0.000
1883.69	110.306	-1.995	72.29	44.05	45.065	0.000	24.36		0.23	0.000
1893.75	110.330	-1.995	72.25	44.03	45.062	0.000	24.36		0.23	0.000
1903.83	110.349	1.995	72.23	44.01	44.939	0.000	24.35		0.23	0.000
1913.88	110.401	1.995	72.15	43.97	44.922	0.000	24.36		0.23	0.000
1923.93	110.498	1.995	72.00	43.88	44.981	0.000	24.36		0.23	0.000
1934.00	110.544	-0.084	71.93	43.83	45.115	0.000	24.36		0.23	0.000
1944.08	110.534	-1.995	71.95	43.84	45.135	0.000	24.35		0.23	0.000
1954.15	110.496	0.781	72.01	43.88	44.900	0.000	24.35		0.23	0.000
1964.23	110.572	1.995	71.89	43.81	44.884	0.000	24.36		0.23	0.000
1974.31	110.635	-1.178	71.80	43.75	45.103	0.000	24.35		0.24	0.000
1984.35	110.590	-1.010	71.86	43.79	44.969	0.000	24.35		0.24	0.000
1994.42	110.630	1.995	71.80	43.76	44.936	0.000	24.34		0.24	0.000
2004.50	110.703	1.863	71.70	43.69	45.013	0.000	24.35		0.24	0.000
2014.56	110.694	-1.995	71.71	43.70	45.066	0.000	24.35		0.24	0.000
2024.64	110.712	1.995	71.68	43.68	44.902	0.000	24.35		0.24	0.000
2034.69	110.710	1.995	71.69	43.68	44.894	0.000	24.36		0.24	0.000
2044.76	110.803	-1.995	71.55	43.60	45.140	0.000	24.36		0.24	0.000
2054.80	110.756	-1.250	71.62	43.64	44.979	0.000	24.34		0.24	0.000
2064.88	110.784	1.995	71.57	43.62	44.906	0.000	24.35		0.24	0.000
2074.89	110.860	1.262	71.46	43.55	45.002	0.000	24.35		0.24	0.000
2084.95	110.816	-1.514	71.53	43.59	45.009	0.000	24.36		0.24	0.000
2095.00	110.820	1.995	71.52	43.58	44.974	0.000	24.36		0.24	0.000
2105.07	110.879	-0.385	71.43	43.53	44.973	0.000	24.36		0.24	0.000
2115.12	110.853	-1.995	71.47	43.55	45.038	0.000	24.36		0.24	0.000
2125.20	110.881	1.995	71.43	43.53	44.966	0.000	24.34		0.24	0.000
2135.26	110.911	-1.995	71.38	43.50	45.115	0.000	24.35		0.24	0.000
2145.32	110.887	1.863	71.42	43.52	44.930	0.000	24.34		0.24	0.000
2155.38	110.949	-0.445	71.33	43.46	45.060	0.000	24.34		0.25	0.000
2165.46	110.901	-1.334	71.40	43.51	44.965	0.000	24.34		0.25	0.000
2175.52	110.947	1.995	71.33	43.47	44.866	0.000	24.34		0.25	0.000
2185.59	111.044	1.995	71.18	43.38	45.041	0.000	24.35		0.25	0.000
2195.67	111.067	0.805	71.15	43.36	44.988	0.000	24.35		0.25	0.000
2205.73	111.066	-1.995	71.15	43.36	45.134	0.000	24.35		0.25	0.000
2215.80	111.028	0.469	71.21	43.39	44.934	0.000	24.36		0.25	0.000
2225.87	111.084	1.995	71.12	43.34	44.986	0.000	24.36		0.25	0.000
2235.92	111.128	-1.995	71.06	43.30	45.094	0.000	24.36		0.25	0.000
2246.00	111.105	-1.130	71.09	43.32	45.019	0.000	24.36		0.25	0.000
2256.07	111.033	1.238	71.20	43.39	44.906	0.000	24.35		0.25	0.000
2266.12	111.105	1.995	71.09	43.32	44.833	0.000	24.36		0.25	0.000
2276.18	111.198	-1.995	70.95	43.24	45.216	0.000	24.36		0.25	0.000
2286.26	111.176	-1.935	70.99	43.26	45.083	0.000	24.37		0.25	0.000
2296.34	111.114	-0.325	71.08	43.31	44.917	0.000	24.37		0.25	0.000
2306.40	111.197	1.995	70.95	43.24	45.012	0.000	24.37		0.25	0.000
2316.47	111.180	-1.995	70.98	43.25	45.093	0.000	24.37		0.25	0.000
2326.55	111.158	0.216	71.01	43.27	44.943	0.000	24.37		0.25	0.000
2336.58	111.230	1.995	70.90	43.21	44.966	0.000	24.38		0.26	0.000
2346.65	111.258	-1.683	70.86	43.18	45.029	0.000	24.37		0.26	0.000
2356.70	111.197	-1.070	70.95	43.24	44.982	0.000	24.37		0.26	0.000
2366.75	111.255	1.995	70.87	43.19	44.964	0.000	24.38		0.26	0.000
2376.82	111.271	-1.995	70.84	43.17	45.033	0.000	24.38		0.26	0.000
2386.87	111.197	0.180	70.95	43.24	44.967	0.000	24.38		0.26	0.000
2396.92	111.269	1.995	70.85	43.17	44.945	0.000	24.38		0.26	0.000
2407.00	111.320	-1.406	70.77	43.13	45.037	0.000	24.38		0.26	0.000
2417.08	111.263	-1.995	70.85	43.18	45.059	0.000	24.38		0.26	0.000
2427.15	111.293	1.995	70.81	43.15	44.930	0.000	24.38		0.26	0.000
2437.19	111.374	1.995	70.69	43.08	44.995	0.000	24.38		0.26	0.000
2447.25	111.387	-1.995	70.67	43.06	45.112	0.000	24.38		0.26	0.000
2457.31	111.360	0.156	70.71	43.09	44.946	0.000	24.38		0.26	0.000
2467.39	111.370	1.995	70.70	43.08	44.804	0.000	24.38		0.26	0.000
2477.45	111.489	-0.120	70.52	42.97	45.066	0.000	24.38		0.26	0.000
2487.53	111.469	-1.995	70.55	42.99	45.072	0.000	24.38		0.26	0.000
2497.60	111.443	1.286	70.59	43.01	44.951	0.000	24.39		0.26	0.000
2507.65	111.522	1.490	70.47	42.94	45.019	0.000	24.39		0.26	0.000
2517.70	111.515	-1.995	70.48	42.95	45.116	0.000	24.39		0.26	0.000
2527.74	111.457	-1.995	70.56	43.00	44.991	0.000	24.39		0.27	0.000
2537.82	111.488	1.995	70.52	42.97	44.862	0.000	24.39		0.27	0.000
2547.88	111.576	-0.252	70.39	42.89	45.085	0.000	24.39		0.27	0.000
2557.95	111.535	-1.995	70.45	42.93	45.052	0.000	24.39		0.27	0.000
2568.00	111.505	1.995	70.49	42.96	44.925	0.000	24.39		0.27	0.000
2578.08	111.596	1.995	70.36	42.87	44.941	0.000	24.38		0.27	0.000
2588.15	111.599	-1.995	70.35	42.87	45.040	0.000	24.39		0.27	0.000
2598.23	111.546	1.995	70.43	42.92	44.892	0.000	24.39		0.27	0.000
2608.30	111.657	1.995	70.26	42.82	44.970	0.000	24.38		0.27	0.000
2618.36	111.683	-0.998	70.23	42.79	45.116	0.000	24.37		0.27	0.000
2628.41	111.705	-1.995	70.19	42.77	45.216	0.000	24.37		0.27	0.000
2638.48	111.681	-1.995	70.23	42.79	45.060	0.000	24.38		0.27	0.000
2648.54	111.638	1.995	70.29	42.83	44.848	0.000	24.37		0.27	0.000
2658.61	111.730	1.995	70.15	42.75	45.004	0.000	24.37		0.27	0.000
2668.66	111.742	-1.995	70.14	42.74	45.129	0.000	24.37		0.27	0.000
2678.73	111.680	-0.493	70.23	42.80	44.944	0.000	24.38		0.27	0.000
2688.79	111.789	1.659	70.07	42.70	45.000	0.000	24.38		0.27	0.000
2698.85	111.792	-1.995	70.06	42.69	45.110	0.000	24.38		0.27	0.000
2708.92	111.739	1.995	70.14	42.74	44.889	0.000	24.38		0.27	0.000
2719.00	111.837	1.262	70.00	42.65	45.013	0.000	24.38		0.28	0.000
2729.06	111.808	-1.995	70.04	42.68	45.095	0.000	24.38		0.28	0.000
2739.12	111.766	1.995	70.10	42.72	44.928	0.000	24.38		0.28	0.000
2749.16	111.797	1.995	70.05	42.69	44.899	0.000	24.39		0.28	0.000
2759.24	111.857	-1.995	69.96	42.63	45.046	0.000	24.38		0.28	0.000
2769.31	111.799	-0.901	70.05	42.69	44.950	0.000	24.38		0.28	0.000
2779.37	111.842	1.995	69.99	42.65	44.915	0.000	24.38		0.28	0.000
2789.43	111.879	-1.995	69.93	42.61	45.059	0.000	24.38		0.28	0.000
2799.49	111.821	1.995	70.02	42.67	44.939	0.000	24.38		0.28	0.000
2809.57	111.893	-0.469	69.91	42.60	45.053	0.000	24.39		0.28	0.000
2819.64	111.856	-1.995	69.97	42.64	45.006	0.000	24.39		0.28	0.000
2829.68	111.887	1.995	69.92	42.61	44.903	0.000	24.39		0.28	0.000
2839.75	111.931	-1.995	69.85	42.57	45.158	0.000	24.39		0.28	0.000
2849.81	111.855	-1.899	69.97	42.64	44.978	0.000	24.39		0.28	0.000
2859.89	111.893	1.995	69.91	42.60	44.895	0.000	24.38		0.28	0.000
2869.94	111.928	-1.995	69.86	42.57	45.068	0.000	24.39		0.28	0.000
2880.00	111.874	1.995	69.94	42.62	44.916	0.000	24.39		0.28	0.000
2890.07	111.953	-1.995	69.82	42.55	45.049	0.000	24.39		0.28	0.000
2900.15	111.874	-0.769	69.94	42.62	44.956	0.000	24.39		0.28	0.000
2910.19	111.911	1.995	69.88	42.59	44.881	0.000	24.39		0.28	0.000
2920.26	111.960	-1.995	69.81	42.54	45.106	0.000	24.39		0.28	0.000
2930.33	111.906	1.875	69.89	42.59	44.956	0.000	24.39		0.28	0.000
2940.41	111.974	-0.192	69.79	42.53	45.035	0.000	24.39		0.29	0.000
2950.47	111.925	-0.313	69.86	42.57	44.940	0.000	24.39		0.29	0.000
2960.54	111.906	1.995	69.89	42.59	44.896	0.000	24.39		0.29	0.000
2970.61	111.994	1.995	69.76	42.51	45.001	0.000	24.39		0.29	0.000
2980.64	111.980	-1.995	69.78	42.52	45.013	0.000	24.39		0.29	0.000
2990.68	111.937	1.719	69.85	42.56	44.946	0.000	24.39		0.29	0.000
3000.75	112.033	0.889	69.70	42.47	45.062	0.000	24.39		0.29	0.000
3010.82	111.990	-1.995	69.76	42.51	45.046	0.000	24.39		0.29	0.000
3020.90	112.003	1.995	69.75	42.50	44.905	0.000	24.39		0.29	0.000
3030.95	112.047	-1.995	69.68	42.46	45.092	0.000	24.39		0.29	0.000
3040.99	111.996	1.995	69.76	42.51	44.958	0.000	24.39		0.29	0.000
3051.07	112.062	-1.430	69.66	42.45	45.088	0.000	24.40		0.29	0.000
3061.15	112.010	0.156	69.74	42.49	44.949	0.000	24.40		0.29	0.000
3071.21	112.006	1.995	69.74	42.50	44.881	0.000	24.39		0.29	0.000
3081.28	112.088	-1.995	69.62	42.42	45.096	0.000	24.39		0.29	0.000
3091.36	112.016	1.154	69.73	42.49	44.923	0.000	24.39		0.29	0.000
3101.42	112.084	1.995	69.62	42.43	44.969	0.000	24.39		0.29	0.000
3111.48	112.072	-1.995	69.64	42.44	45.052	0.000	24.39		0.29	0.000
3121.56	112.015	0.168	69.73	42.49	44.973	0.000	24.40		0.29	0.000
3131.62	112.074	1.995	69.64	42.44	44.971	0.000	24.40		0.29	0.000
3141.68	112.096	-1.995	69.61	42.42	45.069	0.000	24.40		0.29	0.000
3151.76	112.039	1.995	69.69	42.47	44.855	0.000	24.40		0.29	0.000
3161.82	112.131	-0.397	69.55	42.38	45.071	0.000	24.40		0.29	0.000
3171.86	112.057	-0.925	69.66	42.45	44.994	0.000	24.40		0.29	0.000
3181.93	112.102	1.995	69.60	42.41	44.836	0.000	24.39		0.30	0.000
3191.99	112.172	1.995	69.49	42.35	44.949	0.000	24.39		0.30	0.000
3202.05	112.196	-1.154	69.46	42.33	45.029	0.000	24.39		0.30	0.000
3212.13	112.149	1.683	69.53	42.37	44.932	0.000	24.39		0.30	0.000
3222.19	112.176	1.995	69.49	42.34	44.882	0.000	24.39		0.30	0.000
3232.26	112.192	-0.974	69.46	42.33	45.010	0.000	24.39		0.30	0.000
3242.28	112.192	1.022	69.46	42.33	44.955	0.000	24.38		0.30	0.000
3252.36	112.242	-1.022	69.39	42.28	45.066	0.000	24.38		0.30	0.000
3262.44	112.194	-1.995	69.46	42.33	45.021	0.000	24.38		0.30	0.000
3272.46	112.213	1.995	69.43	42.31	44.948	0.000	24.38		0.30	0.000
3282.54	112.239	-1.995	69.39	42.29	45.116	0.000	24.37		0.30	0.000
3292.61	112.190	1.406	69.46	42.33	44.976	0.000	24.37		0.30	0.000
3302.67	112.247	-0.288	69.38	42.28	45.035	0.000	24.37		0.30	0.000
3312.74	112.210	-1.575	69.44	42.31	44.983	0.000	24.37		0.30	0.000
3322.82	112.235	1.995	69.40	42.29	44.942	0.000	24.37		0.30	0.000
3332.86	112.270	-1.995	69.35	42.26	45.184	0.000	24.36		0.30	0.000
3342.94	112.258	-1.995	69.36	42.27	45.074	0.000	24.37		0.30	0.000
3353.01	112.266	1.995	69.35	42.26	44.907	0.000	24.37		0.30	0.000
3363.08	112.329	1.995	69.26	42.20	44.868	0.000	24.38		0.30	0.000
3373.15	112.439	1.995	69.09	42.10	44.985	0.000	24.38		0.30	0.000
3383.23	112.462	0.300	69.06	42.08	45.002	0.000	24.38		0.30	0.000
